編碼	Name	 Time	 ActionType	 撿甘蔗次數	 玩家對話紀錄
"PS		"	2班8號	 2024/4/25 上午 10:11:31	 撿取甘蔗	1	 
"PS		"	2班8號	 2024/4/25 上午 10:11:34	 撿取甘蔗	2	 
"PS		"	2班8號	 2024/4/25 上午 10:11:41	 撿取甘蔗	3	 
"PS		"	2班8號	 2024/4/25 上午 10:11:48	 撿取甘蔗	4	 
"PS		"	2班8號	 2024/4/25 上午 10:11:49	 撿取甘蔗	5	 
"PS		"	2班8號	 2024/4/25 上午 10:11:55	 撿取甘蔗	6	 
"TBG		"	2班8號	 2024/4/25 上午 10:12:40	 和藍色衣服男子對話	6	 
"INAA		"	2班8號	 2024/4/25 上午 10:12:47	 使用者進入了荷蘭人A區域	6	 
"TNA		"	2班8號	 2024/4/25 上午 10:12:50	 和黑色荷蘭人說話	6	 
"MIII		"	2班8號	 2024/4/25 上午 10:13:03	 成功完成，3.蔗糖是荷蘭人重要的經濟來源(找到荷蘭人並繳交甘蔗)	6	 
"TGG		"	2班8號	 2024/4/25 上午 10:13:30	 和綠色衣服男子對話	6	 
"TGG		"	2班8號	 2024/4/25 上午 10:13:40	 和綠色衣服男子對話	6	 
"LI		"	2班8號	 2024/4/25 上午 10:15:06	 進入單元任務說明區域	6	 
"TGG		"	2班8號	 2024/4/25 上午 10:15:16	 和綠色衣服男子對話	6	 
"LI		"	2班8號	 2024/4/25 上午 10:15:16	 進入單元任務說明區域	6	 
"PS		"	2班8號	 2024/4/25 上午 10:15:17	 撿取甘蔗	7	 
"IG		"	2班4號	 2024/4/25 上午 10:15:54	 進入第一單元	0	 
"LI		"	2班4號	 2024/4/25 上午 10:20:14	 進入單元任務說明區域	0	 
"TGG		"	2班4號	 2024/4/25 上午 10:20:18	 和綠色衣服男子對話	0	 
"TPGB		"	2班4號	 2024/4/25 上午 10:20:47	 和粉紅衣服男子乙對話	0	 
" INBA		"	2班4號	 2024/4/25 上午 10:21:05	 使用者進入了荷蘭人B區域	0	 
" TNB		"	2班4號	 2024/4/25 上午 10:21:09	 和藍色荷蘭人A長官說話	0	 
"IG		"	2班5號	 2024/4/30 下午 02:33:47	 進入第一單元	0	 
"IBA		"	2班5號	 2024/4/30 下午 02:34:19	 使用者進入了竹簡區域	0	 
"TB		"	2班5號	 2024/4/30 下午 02:34:19	 碰到驚嘆號	0	 
" MI		"	2班5號	 2024/4/30 下午 02:35:05	 成功完成，1.認識抗荷的背景(前往竹簡)	0	 
"TPGA		"	2班5號	 2024/4/30 下午 02:35:08	 和粉紅衣服男子甲對話	0	 
"INAA		"	2班5號	 2024/4/30 下午 02:35:14	 使用者進入了荷蘭人A區域	0	 
"TNA		"	2班5號	 2024/4/30 下午 02:35:15	 和黑色荷蘭人說話	0	 
"TPGA		"	2班5號	 2024/4/30 下午 02:35:27	 和粉紅衣服男子甲對話	0	 
"TB		"	2班5號	 2024/4/30 下午 02:35:40	 碰到驚嘆號	0	 
"IBA		"	2班5號	 2024/4/30 下午 02:35:40	 使用者進入了竹簡區域	0	 
"TB		"	2班5號	 2024/4/30 下午 02:36:26	 碰到驚嘆號	0	 
"TB		"	2班5號	 2024/4/30 下午 02:36:37	 碰到驚嘆號	0	 
"TB		"	2班5號	 2024/4/30 下午 02:36:40	 碰到驚嘆號	0	 
"TGG		"	2班5號	 2024/4/30 下午 02:37:12	 和綠色衣服男子對話	0	 
"IBA		"	2班5號	 2024/4/30 下午 02:37:22	 使用者進入了竹簡區域	0	 
"TB		"	2班5號	 2024/4/30 下午 02:37:22	 碰到驚嘆號	0	 
"INAA		"	2班5號	 2024/4/30 下午 02:37:46	 使用者進入了荷蘭人A區域	0	 
"TNA		"	2班5號	 2024/4/30 下午 02:37:50	 和黑色荷蘭人說話	0	 
"TPGA		"	2班5號	 2024/4/30 下午 02:38:01	 和粉紅衣服男子甲對話	0	 
"IBA		"	2班5號	 2024/4/30 下午 02:38:07	 使用者進入了竹簡區域	0	 
"TB		"	2班5號	 2024/4/30 下午 02:38:08	 碰到驚嘆號	0	 
"TPGA		"	2班5號	 2024/4/30 下午 02:38:13	 和粉紅衣服男子甲對話	0	 
" MI		"	2班5號	 2024/4/30 下午 02:38:37	 成功完成，1.認識抗荷的背景(前往竹簡)	0	 
"IGA		"	2班5號	 2024/4/30 下午 02:38:53	 使用者進入了郭懷一區域	0	 
"TG		"	2班5號	 2024/4/30 下午 02:38:57	 和郭懷一說話	0	 
"TG		"	2班5號	 2024/4/30 下午 02:39:01	 和郭懷一說話	0	 
"IGA		"	2班5號	 2024/4/30 下午 02:39:22	 使用者進入了郭懷一區域	0	 
"TG		"	2班5號	 2024/4/30 下午 02:39:23	 和郭懷一說話	0	 
"TG		"	2班5號	 2024/4/30 下午 02:39:44	 和郭懷一說話	0	 
"LI		"	2班5號	 2024/4/30 下午 02:40:04	 進入單元任務說明區域	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:40:21	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:40:23	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:40:24	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:40:25	 使用者查看了操作說明版	0	 
"LI		"	2班5號	 2024/4/30 下午 02:41:24	 進入單元任務說明區域	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:42:09	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:42:10	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:42:10	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:42:22	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:42:30	 使用者查看了操作說明版	0	 
"LI		"	2班5號	 2024/4/30 下午 02:42:34	 進入單元任務說明區域	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:42:39	 使用者查看了操作說明版	0	 
"TGG		"	2班5號	 2024/4/30 下午 02:42:42	 和綠色衣服男子對話	0	 
"LI		"	2班5號	 2024/4/30 下午 02:42:50	 進入單元任務說明區域	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:43:03	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:43:13	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:43:16	 使用者查看了操作說明版	0	 
"TB		"	2班5號	 2024/4/30 下午 02:43:21	 碰到驚嘆號	0	 
"IBA		"	2班5號	 2024/4/30 下午 02:43:21	 使用者進入了竹簡區域	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:43:36	 使用者查看了操作說明版	0	 
"TB		"	2班5號	 2024/4/30 下午 02:43:37	 碰到驚嘆號	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:43:40	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:43:43	 使用者查看了操作說明版	0	 
"TGG		"	2班5號	 2024/4/30 下午 02:43:45	 和綠色衣服男子對話	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:43:47	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:43:55	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:43:57	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:44:03	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:44:05	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:44:08	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:44:20	 使用者查看了操作說明版	0	 
"CIB		"	2班5號	 2024/4/30 下午 02:44:28	 使用者查看了操作說明版	0	 
"TGG		"	2班5號	 2024/4/30 下午 02:44:36	 和綠色衣服男子對話	0	 
"TB		"	2班5號	 2024/4/30 下午 02:44:42	 碰到驚嘆號	0	 
"IBA		"	2班5號	 2024/4/30 下午 02:44:42	 使用者進入了竹簡區域	0	 
"IBA		"	2班5號	 2024/4/30 下午 02:46:06	 使用者進入了竹簡區域	0	 
"TB		"	2班5號	 2024/4/30 下午 02:46:07	 碰到驚嘆號	0	 
"IBA		"	2班5號	 2024/4/30 下午 02:46:48	 使用者進入了竹簡區域	0	 
"TB		"	2班5號	 2024/4/30 下午 02:46:48	 碰到驚嘆號	0	 
"TPGA		"	2班5號	 2024/4/30 下午 02:47:35	 和粉紅衣服男子甲對話	0	 
" MI		"	2班5號	 2024/4/30 下午 02:49:53	 成功完成，1.認識抗荷的背景(前往竹簡)	0	 
"LI		"	2班5號	 2024/4/30 下午 02:49:58	 進入單元任務說明區域	0	 
"IGA		"	2班5號	 2024/4/30 下午 02:50:15	 使用者進入了郭懷一區域	0	 
"TG		"	2班5號	 2024/4/30 下午 02:50:16	 和郭懷一說話	0	 
"TRG		"	2班5號	 2024/4/30 下午 02:50:44	 和紅色衣服男子對話	0	 
"RRG		"	2班5號	 2024/4/30 下午 02:50:50	 和被荷蘭人收人頭稅並且提示郭懷一會幫助人的NPC對話	0	 
"TRG		"	2班5號	 2024/4/30 下午 02:50:51	 和紅色衣服男子對話	0	 
"ISA		"	2班5號	 2024/4/30 下午 02:50:55	 使用者進入了甘蔗田	0	 
"ISA		"	2班5號	 2024/4/30 下午 02:50:59	 使用者進入了甘蔗田	0	 
"ISA		"	2班5號	 2024/4/30 下午 02:51:43	 使用者進入了甘蔗田	0	 
"MII		"	2班5號	 2024/4/30 下午 02:51:46	 成功完成，2.了解荷蘭開墾台灣的規劃(尋找甘蔗)	0	 
"PS		"	2班5號	 2024/4/30 下午 02:51:46	 撿取甘蔗	1	 
"PS		"	2班5號	 2024/4/30 下午 02:51:53	 撿取甘蔗	2	 
"PS		"	2班5號	 2024/4/30 下午 02:51:56	 撿取甘蔗	3	 
"PS		"	2班5號	 2024/4/30 下午 02:52:02	 撿取甘蔗	4	 
"PS		"	2班5號	 2024/4/30 下午 02:52:05	 撿取甘蔗	5	 
"PS		"	2班5號	 2024/4/30 下午 02:52:08	 撿取甘蔗	6	 
"PS		"	2班5號	 2024/4/30 下午 02:52:15	 撿取甘蔗	7	 
"TRG		"	2班5號	 2024/4/30 下午 02:52:17	 和紅色衣服男子對話	7	 
"TRG		"	2班5號	 2024/4/30 下午 02:52:20	 和紅色衣服男子對話	7	 
"PS		"	2班5號	 2024/4/30 下午 02:52:22	 撿取甘蔗	8	 
"IGA		"	2班5號	 2024/4/30 下午 02:52:33	 使用者進入了郭懷一區域	8	 
"TG		"	2班5號	 2024/4/30 下午 02:52:36	 和郭懷一說話	8	 
"TGG		"	2班5號	 2024/4/30 下午 02:52:52	 和綠色衣服男子對話	8	 
"INAA		"	2班5號	 2024/4/30 下午 02:52:59	 使用者進入了荷蘭人A區域	8	 
"TNA		"	2班5號	 2024/4/30 下午 02:53:01	 和黑色荷蘭人說話	8	 
"TNA		"	2班5號	 2024/4/30 下午 02:53:01	 和黑色荷蘭人說話	8	 
"TNA		"	2班5號	 2024/4/30 下午 02:53:04	 和黑色荷蘭人說話	8	 
"TNA		"	2班5號	 2024/4/30 下午 02:53:08	 和黑色荷蘭人說話	8	 
"TNA		"	2班5號	 2024/4/30 下午 02:53:11	 和黑色荷蘭人說話	8	 
"MIII		"	2班5號	 2024/4/30 下午 02:53:20	 成功完成，3.蔗糖是荷蘭人重要的經濟來源(找到荷蘭人並繳交甘蔗)	8	 
"TNA		"	2班5號	 2024/4/30 下午 02:53:23	 和黑色荷蘭人說話	8	 
"TNA		"	2班5號	 2024/4/30 下午 02:53:32	 和黑色荷蘭人說話	8	 
"PS		"	2班5號	 2024/4/30 下午 02:53:32	 撿取甘蔗	9	 
"MIII		"	2班5號	 2024/4/30 下午 02:53:47	 成功完成，3.蔗糖是荷蘭人重要的經濟來源(找到荷蘭人並繳交甘蔗)	9	 
"TNA		"	2班5號	 2024/4/30 下午 02:53:48	 和黑色荷蘭人說話	9	 
"INAA		"	2班5號	 2024/4/30 下午 02:54:04	 使用者進入了荷蘭人A區域	9	 
"INAA		"	2班5號	 2024/4/30 下午 02:54:05	 使用者進入了荷蘭人A區域	9	 
"LI		"	2班5號	 2024/4/30 下午 02:54:09	 進入單元任務說明區域	9	 
"ISA		"	2班5號	 2024/4/30 下午 02:54:15	 使用者進入了甘蔗田	9	 
"PS		"	2班5號	 2024/4/30 下午 02:54:24	 撿取甘蔗	10	 
"PS		"	2班5號	 2024/4/30 下午 02:54:31	 撿取甘蔗	11	 
"PS		"	2班5號	 2024/4/30 下午 02:54:36	 撿取甘蔗	12	 
"TRG		"	2班5號	 2024/4/30 下午 02:54:42	 和紅色衣服男子對話	12	 
"PS		"	2班5號	 2024/4/30 下午 02:54:43	 撿取甘蔗	13	 
"TRG		"	2班5號	 2024/4/30 下午 02:54:50	 和紅色衣服男子對話	13	 
"TRG		"	2班5號	 2024/4/30 下午 02:54:51	 和紅色衣服男子對話	13	 
"PS		"	2班5號	 2024/4/30 下午 02:54:51	 撿取甘蔗	14	 
"PS		"	2班5號	 2024/4/30 下午 02:54:59	 撿取甘蔗	15	 
"PS		"	2班5號	 2024/4/30 下午 02:55:16	 撿取甘蔗	16	 
"IGA		"	2班5號	 2024/4/30 下午 02:55:17	 使用者進入了郭懷一區域	16	 
"TG		"	2班5號	 2024/4/30 下午 02:55:18	 和郭懷一說話	16	 
"TG		"	2班5號	 2024/4/30 下午 02:55:18	 和郭懷一說話	16	 
"INAA		"	2班5號	 2024/4/30 下午 02:55:35	 使用者進入了荷蘭人A區域	16	 
"IGA		"	2班5號	 2024/4/30 下午 02:55:51	 使用者進入了郭懷一區域	16	 
"TG		"	2班5號	 2024/4/30 下午 02:55:53	 和郭懷一說話	16	 
"TG		"	2班5號	 2024/4/30 下午 02:55:57	 和郭懷一說話	16	 
"ISA		"	2班5號	 2024/4/30 下午 02:56:05	 使用者進入了甘蔗田	16	 
"PS		"	2班5號	 2024/4/30 下午 02:56:08	 撿取甘蔗	17	 
"IGA		"	2班5號	 2024/4/30 下午 02:56:25	 使用者進入了郭懷一區域	17	 
"INAA		"	2班5號	 2024/4/30 下午 02:56:35	 使用者進入了荷蘭人A區域	17	 
"TNA		"	2班5號	 2024/4/30 下午 02:56:36	 和黑色荷蘭人說話	17	 
"TNA		"	2班5號	 2024/4/30 下午 02:56:40	 和黑色荷蘭人說話	17	 
"TNA		"	2班5號	 2024/4/30 下午 02:56:46	 和黑色荷蘭人說話	17	 
"PS		"	2班5號	 2024/4/30 下午 02:56:50	 撿取甘蔗	18	 
"PS		"	2班5號	 2024/4/30 下午 02:56:52	 撿取甘蔗	19	 
"TNA		"	2班5號	 2024/4/30 下午 02:56:53	 和黑色荷蘭人說話	19	 
"TNA		"	2班5號	 2024/4/30 下午 02:56:56	 和黑色荷蘭人說話	19	 
"MIII		"	2班5號	 2024/4/30 下午 02:57:12	 成功完成，3.蔗糖是荷蘭人重要的經濟來源(找到荷蘭人並繳交甘蔗)	19	 
"TG		"	2班5號	 2024/4/30 下午 02:57:18	 和郭懷一說話	19	 
"IGA		"	2班5號	 2024/4/30 下午 02:57:18	 使用者進入了郭懷一區域	19	 
"TG		"	2班5號	 2024/4/30 下午 02:57:20	 和郭懷一說話	19	 
"MIV		"	2班5號	 2024/4/30 下午 02:57:31	 成功完成，4.認識郭懷一擔任使節的原由、郭懷一抗荷蘭的成因(獲得文件)	19	 
"TG		"	2班5號	 2024/4/30 下午 07:08:25	 和郭懷一說話	19	 
"TG		"	2班5號	 2024/4/30 下午 07:08:33	 和郭懷一說話	19	 
